# dimensionless [l(l+1)/2pi] C_l's for scalar cross ADxADDCS mode
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       7.459912348226e-07      -1.261989728831e-11      -3.397276197476e-10       0.000000000000e+00       4.474843284668e-07       5.017227153588e-08      -1.084096318705e-11 
   41       7.577446796778e-07      -1.395707984744e-11      -4.229397484463e-10       0.000000000000e+00       4.246541918082e-07       4.783701390446e-08       1.504432655636e-12 
   42       7.696587772372e-07      -1.514133101155e-11      -5.033926403329e-10       0.000000000000e+00       4.033242879667e-07       4.564497764953e-08       7.455648347316e-12 
   43       7.817669066989e-07      -1.616905282176e-11      -5.819211400242e-10       0.000000000000e+00       3.834362029378e-07       4.359549614128e-08       8.066655063227e-12 
   44       7.940904691044e-07      -1.704024874386e-11      -6.596645330851e-10       0.000000000000e+00       3.648430209605e-07       4.167986342582e-08       4.731415304312e-12 
   45       8.066396555375e-07      -1.775584782702e-11      -7.379295274459e-10       0.000000000000e+00       3.473612539875e-07       3.988487717674e-08      -9.854089590612e-13 
   46       8.194191782156e-07      -1.830803280481e-11      -8.176811660903e-10       0.000000000000e+00       3.309617096231e-07       3.820629644472e-08      -7.968821055709e-12 
   47       8.324219770482e-07      -1.868751885764e-11      -8.999352204561e-10       0.000000000000e+00       3.156237267688e-07       3.663827696576e-08      -1.508095541049e-11 
   48       8.456260773679e-07      -1.888639025157e-11      -9.859143400326e-10       0.000000000000e+00       3.012776297877e-07       3.516910183753e-08      -2.097495058821e-11 
   49       8.589933733781e-07      -1.889822234615e-11      -1.077059830746e-09       0.000000000000e+00       2.878010939848e-07       3.378075936508e-08      -2.408384898848e-11 
   50       8.724835373660e-07      -1.871756980535e-11      -1.174696773145e-09       0.000000000000e+00       2.750556208501e-07       3.245419249345e-08      -2.309902058921e-11 
   51       8.861030206915e-07      -1.833798439998e-11      -1.278894888931e-09       0.000000000000e+00       2.630160679476e-07       3.118770632204e-08      -1.858428248284e-11 
   52       8.998672506777e-07      -1.775367005811e-11      -1.389318829181e-09       0.000000000000e+00       2.516699959612e-07       2.998282738235e-08      -1.178072628426e-11 
   53       9.137861745656e-07      -1.696015963154e-11      -1.505543382373e-09       0.000000000000e+00       2.409789263375e-07       2.883891717704e-08      -4.167140305434e-12 
   54       9.278637547624e-07      -1.595440707782e-11      -1.627048939345e-09       0.000000000000e+00       2.308765942846e-07       2.775301692381e-08       2.528054323870e-12 
   55       9.421003942898e-07      -1.473405469986e-11      -1.753375381462e-09       0.000000000000e+00       2.212889034697e-07       2.672111040882e-08       6.729470249927e-12 
   56       9.565020750549e-07      -1.329481051709e-11      -1.884638901945e-09       0.000000000000e+00       2.122035973352e-07       2.574263560007e-08       8.367237616639e-12 
   57       9.710726056102e-07      -1.163258084109e-11      -2.021135630585e-09       0.000000000000e+00       2.036148356239e-07       2.481682187243e-08       7.839599282803e-12 
   58       9.858105077630e-07      -9.744296870836e-12      -2.163196060905e-09       0.000000000000e+00       1.955021272299e-07       2.394127226571e-08       5.631870596499e-12 
   59       1.000708625988e-06      -7.627974734084e-12      -2.311186687458e-09       0.000000000000e+00       1.878294287182e-07       2.311186347966e-08       2.320656626919e-12 
   60       1.015753736838e-06      -5.282775528874e-12      -2.465511643124e-09       0.000000000000e+00       1.805442428447e-07       2.232264586884e-08      -1.421930603809e-12 
   61       1.030931956415e-06      -2.708641161435e-12      -2.626553536898e-09       0.000000000000e+00       1.735920299505e-07       2.156746063017e-08      -4.965178229686e-12 
   62       1.046247264758e-06       9.502948945811e-14      -2.794476745253e-09       0.000000000000e+00       1.669652615970e-07       2.084544178690e-08      -8.175941289971e-12 
   63       1.061706465268e-06       3.128248693651e-12      -2.969382671881e-09       0.000000000000e+00       1.606638279621e-07       2.015657734360e-08      -1.105784838323e-11 
   64       1.077313551037e-06       6.389996227930e-12      -3.151366364981e-09       0.000000000000e+00       1.546802891815e-07       1.950005645221e-08      -1.361946893425e-11 
   65       1.093069498223e-06       9.878172794225e-12      -3.340516225433e-09       0.000000000000e+00       1.489994597338e-07       1.887422389226e-08      -1.587457369904e-11 
   66       1.108972059436e-06       1.358955343781e-11      -3.536913714970e-09       0.000000000000e+00       1.435979928269e-07       1.827653455098e-08      -1.784239526996e-11 
   67       1.125015557114e-06       1.751974096552e-11      -3.740633064354e-09       0.000000000000e+00       1.384439647833e-07       1.770350790348e-08      -1.954788858073e-11 
   68       1.141193766367e-06       2.166401058928e-11      -3.951725059972e-09       0.000000000000e+00       1.335052992531e-07       1.715168479878e-08      -2.102093925875e-11 
   69       1.157509703672e-06       2.602014672049e-11      -4.170165241020e-09       0.000000000000e+00       1.287779510400e-07       1.662082469430e-08      -2.229322010632e-11 
   70       1.173967459558e-06       3.058609994439e-11      -4.395894633231e-09       0.000000000000e+00       1.242627126718e-07       1.611127746809e-08      -2.340116271562e-11 
   71       1.190569159321e-06       3.535912329168e-11      -4.628834055220e-09       0.000000000000e+00       1.199566937277e-07       1.562301890490e-08      -2.438718267136e-11 
   72       1.207314835418e-06       4.033574845029e-11      -4.868883419455e-09       0.000000000000e+00       1.158531313064e-07       1.515563081076e-08      -2.529991314657e-11 
   73       1.224202299860e-06       4.551176197699e-11      -5.115921033233e-09       0.000000000000e+00       1.119412004942e-07       1.470828112760e-08      -2.619443849837e-11 
   74       1.241227016610e-06       5.088218150916e-11      -5.369802899652e-09       0.000000000000e+00       1.082058248338e-07       1.427970404780e-08      -2.713252786379e-11 
   75       1.258381973974e-06       5.644123197643e-11      -5.630362018581e-09       0.000000000000e+00       1.046274867920e-07       1.386818012878e-08      -2.818286875551e-11 
   76       1.275660141050e-06       6.218238157604e-11      -5.897408668647e-09       0.000000000000e+00       1.011870150495e-07       1.347199794777e-08      -2.940136551427e-11 
   77       1.293062636300e-06       6.809850985737e-11      -6.170732857773e-09       0.000000000000e+00       9.788137318366e-08       1.309098021407e-08      -3.076737060220e-11 
   78       1.310591823640e-06       7.418172721226e-11      -6.450101051589e-09       0.000000000000e+00       9.471041916374e-08       1.272520111589e-08      -3.223619514843e-11 
   79       1.328248787130e-06       8.042329563278e-11      -6.735254564139e-09       0.000000000000e+00       9.167209788714e-08       1.237451961958e-08      -3.375784012324e-11 
   80       1.346033256349e-06       8.681360614839e-11      -7.025908878969e-09       0.000000000000e+00       8.876235370147e-08       1.203856945856e-08      -3.527682114758e-11 
   81       1.363943531784e-06       9.334215626312e-11      -7.321752970218e-09       0.000000000000e+00       8.597504292657e-08       1.171674912231e-08      -3.673199330258e-11 
   82       1.381976410207e-06       9.999752739282e-11      -7.622448623703e-09       0.000000000000e+00       8.330184637654e-08       1.140821184529e-08      -3.805637593907e-11 
   83       1.400127110062e-06       1.067673623023e-10      -7.927629758012e-09       0.000000000000e+00       8.073218188179e-08       1.111185559590e-08      -3.917697748714e-11 
   84       1.418390970253e-06       1.136395354928e-10      -8.236944928883e-09       0.000000000000e+00       7.825574109832e-08       1.082657532463e-08      -4.003012826264e-11 
   85       1.436769033529e-06       1.206059367190e-10      -8.550194425542e-09       0.000000000000e+00       7.587077475584e-08       1.055208968484e-08      -4.061078317204e-11 
   86       1.455263256206e-06       1.276592762473e-10      -8.867214762961e-09       0.000000000000e+00       7.357702692794e-08       1.028823364720e-08      -4.093110915057e-11 
   87       1.473874772899e-06       1.347919451974e-10      -9.187837565476e-09       0.000000000000e+00       7.137319013332e-08       1.003470290536e-08      -4.100578805739e-11 
   88       1.492603851717e-06       1.419960130286e-10      -9.511889613655e-09       0.000000000000e+00       6.925686196348e-08       9.791048272578e-09      -4.085210212376e-11 
   89       1.511449849444e-06       1.492632250271e-10      -9.839192891148e-09       0.000000000000e+00       6.722450171045e-08       9.556670078408e-09      -4.049001940111e-11 
   90       1.530411166732e-06       1.565849997922e-10      -1.016956463155e-08       0.000000000000e+00       6.527138699445e-08       9.330812565350e-09      -3.994227920920e-11 
   91       1.549485203284e-06       1.639524267236e-10      -1.050281736527e-08       0.000000000000e+00       6.339157039165e-08       9.112558285526e-09      -3.923447758424e-11 
   92       1.568668313049e-06       1.713562635080e-10      -1.083875896637e-08       0.000000000000e+00       6.157783606182e-08       8.900822497351e-09      -3.839515272701e-11 
   93       1.587956707377e-06       1.787870163021e-10      -1.117716827612e-08       0.000000000000e+00       5.982339048208e-08       8.694613199215e-09      -3.745258677207e-11 
   94       1.607349417243e-06       1.862351995373e-10      -1.151771767812e-08       0.000000000000e+00       5.812731973345e-08       8.493868138201e-09      -3.642447526508e-11 
   95       1.626845695761e-06       1.936911107246e-10      -1.186003891091e-08       0.000000000000e+00       5.648987661863e-08       8.298733913290e-09      -3.532685472970e-11 
   96       1.646444078538e-06       2.011447498807e-10      -1.220374616920e-08       0.000000000000e+00       5.491080038253e-08       8.109309624304e-09      -3.417728774028e-11 
   97       1.666142351867e-06       2.085858181493e-10      -1.254843581547e-08       0.000000000000e+00       5.338929714378e-08       7.925644914920e-09      -3.299490329550e-11 
   98       1.685937520934e-06       2.160037164238e-10      -1.289368609157e-08       0.000000000000e+00       5.192402032615e-08       7.747738015702e-09      -3.180043719198e-11 
   99       1.705825778011e-06       2.233875439686e-10      -1.323905683034e-08       0.000000000000e+00       5.051305109013e-08       7.575533787120e-09      -3.061627239783e-11 
  100       1.725802470667e-06       2.307260970414e-10      -1.358408916718e-08       0.000000000000e+00       4.915387876436e-08       7.408921762572e-09      -2.946647942632e-11 
  101       1.745862069957e-06       2.380078675147e-10      -1.392830525169e-08       0.000000000000e+00       4.784338127715e-08       7.247734191414e-09      -2.837685670945e-11 
  102       1.765998138630e-06       2.452210414986e-10      -1.427120795925e-08       0.000000000000e+00       4.657780558796e-08       7.091744081975e-09      -2.737497097154e-11 
  103       1.786203299329e-06       2.523534979617e-10      -1.461228060263e-08       0.000000000000e+00       4.535274811893e-08       6.940663244589e-09      -2.649019760286e-11 
  104       1.806470530174e-06       2.593934403679e-10      -1.495102478255e-08       0.000000000000e+00       4.416414142141e-08       6.794208437737e-09      -2.574691107478e-11 
  105       1.826797319341e-06       2.663313917262e-10      -1.528708038354e-08       0.000000000000e+00       4.301140811817e-08       6.652314197855e-09      -2.514292159832e-11 
  106       1.847182015037e-06       2.731584677287e-10      -1.562012132561e-08       0.000000000000e+00       4.189469851499e-08       6.514945245209e-09      -2.466818728004e-11 
  107       1.867622531226e-06       2.798657733130e-10      -1.594981900187e-08       0.000000000000e+00       4.081391400295e-08       6.382029754115e-09      -2.431136948358e-11 
  108       1.888116330413e-06       2.864444082404e-10      -1.627584240933e-08       0.000000000000e+00       3.976869854756e-08       6.253458144343e-09      -2.405979792904e-11 
  109       1.908660406436e-06       2.928854726747e-10      -1.659785827953e-08       0.000000000000e+00       3.875843017772e-08       6.129081872529e-09      -2.389943579228e-11 
  110       1.929251267247e-06       2.991800727594e-10      -1.691553120933e-08       0.000000000000e+00       3.778221247473e-08       6.008712223587e-09      -2.381484480424e-11 
  111       1.949884917705e-06       3.053193261965e-10      -1.722852379156e-08       0.000000000000e+00       3.683886606136e-08       5.892119102115e-09      -2.378915035032e-11 
  112       1.970556842360e-06       3.112943678243e-10      -1.753649674578e-08       0.000000000000e+00       3.592692009084e-08       5.779029823806e-09      -2.380400656968e-11 
  113       1.991261988238e-06       3.170963551959e-10      -1.783910904897e-08       0.000000000000e+00       3.504460373589e-08       5.669127906857e-09      -2.383956145459e-11 
  114       2.011994747636e-06       3.227164741568e-10      -1.813601806624e-08       0.000000000000e+00       3.418983767773e-08       5.562051863379e-09      -2.387442194975e-11 
  115       2.032748940899e-06       3.281459444236e-10      -1.842687968154e-08       0.000000000000e+00       3.336022559512e-08       5.457393990808e-09      -2.388561905163e-11 
  116       2.053518448091e-06       3.333764221793e-10      -1.871134876073e-08       0.000000000000e+00       3.255357325166e-08       5.354791495975e-09      -2.385328010433e-11 
  117       2.074299227896e-06       3.384012514660e-10      -1.898908032502e-08       0.000000000000e+00       3.176953555191e-08       5.254215020053e-09      -2.377536475682e-11 
  118       2.095087512997e-06       3.432143761209e-10      -1.925972876629e-08       0.000000000000e+00       3.100815468598e-08       5.155713086539e-09      -2.365466342158e-11 
